actor;period;name;type;vjou;vopi;vtot;repinf;popula;procli;acjou;acopi;actot;degree;corene;constr;bonpow;closen;eigenv;betwee;eigent;acjou_f;acopi_f;actot_f;degree_f;corene_f;constr_f;bonpow_f;closen_f;eigenv_f;betwee_f;eigent_f;coalit;coalea;coalea_f;coordi;liaiso;coordi_f;liaiso_f;twact;twact_log
FI012;0;0;corporate;0;0;0;0.371428571428571;0.13953488372093;0.38302877011199;0.484848484848485;0.346666666666667;0.456140350877193;0.08;0.266666666666667;0.294703662962014;0.657617654035298;0.275265957446808;0.0938821549724317;0.00257078779555553;0.103805839512618;0.413793103448276;0.285714285714286;0.379746835443038;0.19047619047619;0.571428571428571;0.308375351120008;0.657617654035298;0.437901803493201;0.310552792750719;0.0278950129351798;0.186337827708396;0;0.0756302896264795;0.159292353043947;0.0122699386503067;0.5;0.064327485380117;0.5;23;0.523106636903519
FI013;0;0;interest_group;1;0;1;0.271428571428571;0.418604651162791;0.60541686036637;0.538961038961039;0.315714285714286;0.488721804511278;0.52;1;0.0502814204630003;0.446226435352249;0.596296296296296;0.582504488886219;0.148232383369451;0.539791066422308;0.349137931034483;0.241071428571429;0.320411392405063;0.666666666666667;1;0.0652681683191019;0.446226435352249;0.879198194610381;0.852575230531197;0.393649047519089;0.571432465042377;0;0.487394830374971;0.522124386542205;0.205521472392638;0.5;0.385964912280702;0.5;225;0.892218315061297
FI015;0;0;corporate;3;3;6;0.771428571428571;0.395348837209302;0.564909280125547;0.746753246753247;0.612857142857143;0.723308270676692;0.52;1;0.0411847199645593;0.61167117397422;0.596296296296296;0.623462602919089;0.105358665920049;0.553632273482828;0.610344827586207;0.657142857142857;0.622784810126582;0.619047619047619;1;0.0807981070645508;0.61167117397422;0.79833236377739;0.77659191987917;0.313454959227192;0.552797835874811;0;0.445377983873512;0.43362886831627;0.188650306748466;0.5;0.269005847953216;0.5;124;0.794738886080713
FI016;0;0;non_governmental;8;7;15;0.557142857142857;0.325581395348837;1;0.343434343434343;0.375555555555556;0.357309941520468;0.32;0.733333333333333;0.114254531705298;0.363486143876599;0.461337209302325;0.310719925589602;0.0529448899257698;0.356403079141525;0.349137931034483;0.428571428571429;0.370253164556962;0.476190476190476;1;0.23276353327705;0.363486143876599;0.552469135802469;0.578270970914552;0.105703259627991;0.590060817834552;1;0.704346363823829;0.727270810604574;0.0168711656441718;0.5;0.064327485380117;0.5;200;0.872922279804487
FI017;0;0;corporate;4;0;4;0.485714285714286;0.27906976744186;0.286323270351959;0.772727272727273;0.6825;0.761184210526316;0.28;0.866666666666667;0.100659882045187;0.445145313232398;0.375837988826816;0.371665589361518;0.0210598216839153;0.273355688300352;0.482758620689655;0.619047619047619;0.518987341772152;0.333333333333333;1;0.173117001824364;0.445145313232398;0.552469135802469;0.49012488440551;0.0718788047503953;0.310562866651183;0;0.214285578414943;0.336283468635252;0.0414110429447853;0.5;0.175438596491228;0.5;15;0.456367210699098
FI018;0;0;research;15;8;23;0.442857142857143;0.558139534883721;0.60541686036637;0.567272727272727;0.5616;0.574736842105263;0.46;0.933333333333333;0.0633260841974004;0.74688126186789;0.526796407185629;0.479616939406763;0.125418146466094;0.47404780245453;0.594827586206896;0.5;0.569620253164557;0.761904761904762;1;0.0790846835885115;0.74688126186789;0.862679078365352;0.949499542662211;0.403113628144757;0.652177414921644;0;0.315125657867852;0.45132801533058;0.093558282208589;0.5;0.274853801169591;0.5;66;0.692091050925291
FI019;0;0;non_governmental;0;1;1;0.228571428571429;0.0697674418604651;0;0;0;0;0.02;0.0666666666666667;0.64652186005858;0.647720137250077;0.00794930875576013;0.0238032332111718;0.000176672849976729;0.0761242616811948;0;0;0;0.0476190476190476;0.142857142857143;0.754213199445441;0.647720137250077;0;0.0665385935665685;0;0.136648279124956;0;0.0420166855526407;0.0884954738788484;0.00153374233128834;0.5;0.00584795321637427;0.5;18;0.484653707640552
FI020;0;0;research;2;2;4;0.528571428571429;0.418604651162791;1;0.756363636363636;0.7488;0.766315789473684;0.46;1;0.0513799919908965;0.27332015285678;0.540361445783132;0.550182014531186;0.0907116678214086;0.342560148008722;1;1;1;0.333333333333333;1;0.21146481602962;0.27332015285678;0.552469135802469;0.4512399688181;0.0729600235173091;0.440994730888512;1;0.452175998085974;0.472729640386608;0.00460122699386503;0.5;0.0233918128654971;0.5;44;0.626575419785295
FI021;0;0;research;24;6;30;0.571428571428571;0.581395348837209;0.60541686036637;0.538461538461538;0.6;0.563157894736842;0.48;1;0.0645982001095359;0.497219955277168;0.567987804878049;0.608247849731186;0.0563943192019404;0.487888128439005;0.572198275862069;0.589285714285714;0.576740506329114;0.666666666666667;1;0.0945626086108024;0.497219955277168;0.830165262264027;0.848511214472227;0.255607701769357;0.583854718577828;0;0.449579653518656;0.601771081421803;0.161042944785276;0.5;0.409356725146199;0.5;60;0.676648514033143
FI022;0;0;research;3;3;6;0.171428571428571;0.302325581395349;0.431043373970634;0.97979797979798;0.924444444444444;0.980701754385965;0.32;0.933333333333333;0.109882994245874;0.575353101806502;0.448699421965318;0.404776821154621;0.0184852397421454;0.3010375662279;0.753694581280788;0.826530612244898;0.773056057866184;0.571428571428571;1;0.0959083043798719;0.575353101806502;0.912775093934514;0.779799102414301;0.246871749084642;0.465842260358535;0;0.19327710761971;0.407080335457938;0.0230061349693252;0.5;0.257309941520468;0.5;3;0.228183605349549
